Device_id,Dvpp Id,Engine Type,Engine ID,All Time(us),All Frame,All Utilization(%)
0,0,VDEC,0,0.0,0.0,0
0,0,VDEC,1,0.0,0.0,0
0,0,JPEGD,0,0.0,0.0,0
0,0,JPEGD,1,0.0,0.0,0
0,0,JPEGD,2,0.0,0.0,0
0,0,JPEGD,3,0.0,0.0,0
0,0,JPEGD,4,0.0,0.0,0
0,0,JPEGD,5,0.0,0.0,0
0,0,JPEGD,6,0.0,0.0,0
0,0,JPEGD,7,0.0,0.0,0
0,0,JPEGD,8,0.0,0.0,0
0,0,JPEGD,9,0.0,0.0,0
0,0,JPEGD,10,0.0,0.0,0
0,0,JPEGD,11,0.0,0.0,0
0,0,JPEGD,12,0.0,0.0,0
0,0,JPEGD,13,0.0,0.0,0
0,0,JPEGD,14,0.0,0.0,0
0,0,JPEGD,15,0.0,0.0,0
0,0,JPEGD,16,0.0,0.0,0
0,0,JPEGD,17,0.0,0.0,0
0,0,JPEGD,18,0.0,0.0,0
0,0,JPEGD,19,0.0,0.0,0
0,0,JPEGD,20,0.0,0.0,0
0,0,JPEGD,21,0.0,0.0,0
0,0,JPEGD,22,0.0,0.0,0
0,0,JPEGD,23,0.0,0.0,0
0,0,JPEGE,0,0.0,0.0,0
0,0,JPEGE,1,0.0,0.0,0
0,0,JPEGE,2,0.0,0.0,0
0,0,JPEGE,3,0.0,0.0,0
0,0,VPC,0,0.0,0.0,0
0,0,VPC,1,0.0,0.0,0
0,0,VPC,2,0.0,0.0,0
0,0,VPC,3,0.0,0.0,0
0,0,VPC,4,0.0,0.0,0
0,0,VPC,5,0.0,0.0,0
0,0,VPC,6,0.0,0.0,0
0,0,VPC,7,0.0,0.0,0
0,0,VPC,8,0.0,0.0,0
0,0,VENC,0,0.0,0.0,0
0,0,VENC,1,0.0,0.0,0
