Device_id,event,ddr(KB),hbm(KB),memory(KB),timestamp(us)
0,APP,0.0,100480.0,100480.0,1728455753862272.840	
0,APP,0.0,100480.0,100480.0,1728455753882239.840	
0,APP,0.0,100480.0,100480.0,1728455753902241.840	
0,APP,0.0,100480.0,100480.0,1728455753922240.840	
0,APP,0.0,100480.0,100480.0,1728455753942239.840	
0,APP,0.0,100480.0,100480.0,1728455753962239.840	
0,APP,0.0,100480.0,100480.0,1728455753982239.840	
0,APP,0.0,100480.0,100480.0,1728455754002239.840	
0,APP,0.0,100480.0,100480.0,1728455754022239.840	
0,APP,0.0,100480.0,100480.0,1728455754042240.840	
0,APP,0.0,100480.0,100480.0,1728455754062240.840	
0,APP,0.0,125180.0,125180.0,1728455754082361.840	
0,APP,0.0,125180.0,125180.0,1728455754102240.840	
0,APP,0.0,125180.0,125180.0,1728455754122239.840	
0,APP,0.0,125180.0,125180.0,1728455754142239.840	
0,APP,0.0,125180.0,125180.0,1728455754162239.840	
0,APP,0.0,125180.0,125180.0,1728455754182241.840	
0,APP,0.0,125180.0,125180.0,1728455754202241.840	
0,APP,0.0,125180.0,125180.0,1728455754222292.840	
0,APP,0.0,125180.0,125180.0,1728455754242240.840	
0,APP,0.0,125180.0,125180.0,1728455754262240.840	
0,APP,0.0,125180.0,125180.0,1728455754282241.840	
0,APP,0.0,125180.0,125180.0,1728455754302240.840	
0,APP,0.0,125180.0,125180.0,1728455754322240.840	
0,APP,0.0,125180.0,125180.0,1728455754342246.840	
0,APP,0.0,125180.0,125180.0,1728455754362241.840	
0,APP,0.0,125180.0,125180.0,1728455754382240.840	
0,Device,0.0,25311008.0,25311008.0,1728455753862521.840	
0,Device,0.0,25313056.0,25313056.0,1728455753882576.840	
0,Device,0.0,25313056.0,25313056.0,1728455753902459.840	
0,Device,0.0,25313056.0,25313056.0,1728455753922451.840	
0,Device,0.0,25313056.0,25313056.0,1728455753942448.840	
0,Device,0.0,25313056.0,25313056.0,1728455753962447.840	
0,Device,0.0,25313056.0,25313056.0,1728455753982450.840	
0,Device,0.0,25313120.0,25313120.0,1728455754002448.840	
0,Device,0.0,25313120.0,25313120.0,1728455754022500.840	
0,Device,0.0,25313120.0,25313120.0,1728455754042452.840	
0,Device,0.0,25313120.0,25313120.0,1728455754062561.840	
0,Device,0.0,25337632.0,25337632.0,1728455754082478.840	
0,Device,0.0,25337632.0,25337632.0,1728455754102452.840	
0,Device,0.0,25337632.0,25337632.0,1728455754122454.840	
0,Device,0.0,25337632.0,25337632.0,1728455754142449.840	
0,Device,0.0,25337632.0,25337632.0,1728455754162450.840	
0,Device,0.0,25337632.0,25337632.0,1728455754182452.840	
0,Device,0.0,25337632.0,25337632.0,1728455754202562.840	
0,Device,0.0,25337632.0,25337632.0,1728455754222447.840	
0,Device,0.0,25337632.0,25337632.0,1728455754242446.840	
0,Device,0.0,25337632.0,25337632.0,1728455754262448.840	
0,Device,0.0,25337632.0,25337632.0,1728455754282450.840	
0,Device,0.0,25337632.0,25337632.0,1728455754302450.840	
0,Device,0.0,25337632.0,25337632.0,1728455754322450.840	
0,Device,0.0,25337632.0,25337632.0,1728455754342562.840	
0,Device,0.0,25337632.0,25337632.0,1728455754362450.840	
0,Device,0.0,25335584.0,25335584.0,1728455754382453.840	
0,Device,0.0,25333536.0,25333536.0,1728455754402451.840	
