Device_id,event,ddr(KB),hbm(KB),memory(KB),timestamp(us)
0,APP,0.0,100828.0,100828.0,1728455181454128.060	
0,APP,0.0,100828.0,100828.0,1728455181474107.060	
0,APP,0.0,100828.0,100828.0,1728455181494107.060	
0,APP,0.0,100828.0,100828.0,1728455181514109.060	
0,APP,0.0,100828.0,100828.0,1728455181534107.060	
0,APP,0.0,100828.0,100828.0,1728455181554106.060	
0,APP,0.0,100828.0,100828.0,1728455181574108.060	
0,APP,0.0,100828.0,100828.0,1728455181594107.060	
0,APP,0.0,105048.0,105048.0,1728455181614107.060	
0,APP,0.0,125528.0,125528.0,1728455181634107.060	
0,APP,0.0,125528.0,125528.0,1728455181654107.060	
0,APP,0.0,125528.0,125528.0,1728455181674112.060	
0,APP,0.0,125528.0,125528.0,1728455181694107.060	
0,APP,0.0,125528.0,125528.0,1728455181714107.060	
0,APP,0.0,125528.0,125528.0,1728455181734107.060	
0,APP,0.0,125528.0,125528.0,1728455181754107.060	
0,APP,0.0,125528.0,125528.0,1728455181774107.060	
0,APP,0.0,125528.0,125528.0,1728455181794107.060	
0,APP,0.0,125528.0,125528.0,1728455181814107.060	
0,APP,0.0,125528.0,125528.0,1728455181834106.060	
0,APP,0.0,125528.0,125528.0,1728455181854107.060	
0,APP,0.0,125528.0,125528.0,1728455181874107.060	
0,APP,0.0,125528.0,125528.0,1728455181894106.060	
0,APP,0.0,125528.0,125528.0,1728455181914107.060	
0,APP,0.0,125528.0,125528.0,1728455181934107.060	
0,APP,0.0,125528.0,125528.0,1728455181954107.060	
0,APP,0.0,125528.0,125528.0,1728455181974107.060	
0,Device,0.0,7861272.0,7861272.0,1728455181454355.060	
0,Device,0.0,7865368.0,7865368.0,1728455181474442.060	
0,Device,0.0,7865368.0,7865368.0,1728455181494310.060	
0,Device,0.0,7865368.0,7865368.0,1728455181514304.060	
0,Device,0.0,7865368.0,7865368.0,1728455181534303.060	
0,Device,0.0,7865368.0,7865368.0,1728455181554300.060	
0,Device,0.0,7865368.0,7865368.0,1728455181574301.060	
0,Device,0.0,7865368.0,7865368.0,1728455181594302.060	
0,Device,0.0,7869400.0,7869400.0,1728455181614439.060	
0,Device,0.0,7889880.0,7889880.0,1728455181634310.060	
0,Device,0.0,7889880.0,7889880.0,1728455181654302.060	
0,Device,0.0,7889880.0,7889880.0,1728455181674304.060	
0,Device,0.0,7889880.0,7889880.0,1728455181694303.060	
0,Device,0.0,7889880.0,7889880.0,1728455181714301.060	
0,Device,0.0,7889880.0,7889880.0,1728455181734303.060	
0,Device,0.0,7889880.0,7889880.0,1728455181754302.060	
0,Device,0.0,7889880.0,7889880.0,1728455181774312.060	
0,Device,0.0,7889880.0,7889880.0,1728455181794426.060	
0,Device,0.0,7889880.0,7889880.0,1728455181814300.060	
0,Device,0.0,7889880.0,7889880.0,1728455181834303.060	
0,Device,0.0,7889880.0,7889880.0,1728455181854301.060	
0,Device,0.0,7889880.0,7889880.0,1728455181874301.060	
0,Device,0.0,7889880.0,7889880.0,1728455181894302.060	
0,Device,0.0,7889880.0,7889880.0,1728455181914304.060	
0,Device,0.0,7889880.0,7889880.0,1728455181934428.060	
0,Device,0.0,7888856.0,7888856.0,1728455181954306.060	
0,Device,0.0,7887832.0,7887832.0,1728455181974306.060	
0,Device,0.0,7885784.0,7885784.0,1728455181994305.060	
