Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,KERNEL_AICORE,25,60,6.56,1728456062721512.730	,1728456062721519.290	
0,N/A,KERNEL_AICORE,25,61,6.24,1728456062721519.330	,1728456062721525.570	
0,N/A,KERNEL_AICORE,25,62,6.32,1728456062721525.590	,1728456062721531.910	
0,N/A,KERNEL_AICORE,25,63,6.58,1728456062721531.930	,1728456062721538.510	
0,N/A,KERNEL_AICORE,25,64,6.98,1728456062721538.530	,1728456062721545.510	
0,N/A,KERNEL_AICORE,25,65,6.46,1728456062721545.530	,1728456062721551.990	
0,N/A,KERNEL_AICORE,25,66,6.6,1728456062721552.010	,1728456062721558.610	
0,N/A,KERNEL_AICORE,25,67,6.26,1728456062721558.630	,1728456062721564.890	
0,N/A,KERNEL_AICORE,25,68,6.42,1728456062721564.910	,1728456062721571.330	
0,N/A,KERNEL_AICORE,25,69,6.52,1728456062721571.350	,1728456062721577.870	
0,N/A,KERNEL_AICORE,25,70,7.0,1728456062721577.890	,1728456062721584.890	
0,N/A,KERNEL_AICORE,25,71,6.44,1728456062721584.910	,1728456062721591.350	
0,N/A,KERNEL_AICORE,25,72,6.34,1728456062721591.390	,1728456062721597.730	
0,N/A,EVENT_RECORD,25,73,0.0,1728456062721597.750	,1728456062721597.750	
0,N/A,KERNEL_AICORE,25,74,6.38,1728456062721661.870	,1728456062721668.250	
0,N/A,KERNEL_AICORE,25,75,6.48,1728456062721668.270	,1728456062721674.750	
0,N/A,KERNEL_AICORE,25,76,6.5,1728456062721674.770	,1728456062721681.270	
0,N/A,KERNEL_AICORE,25,77,6.22,1728456062721681.290	,1728456062721687.510	
0,N/A,KERNEL_AICORE,25,78,6.46,1728456062721687.530	,1728456062721693.990	
0,N/A,KERNEL_AICORE,25,79,6.58,1728456062721694.010	,1728456062721700.590	
0,N/A,KERNEL_AICORE,25,80,6.46,1728456062721700.610	,1728456062721707.070	
0,N/A,KERNEL_AICORE,25,81,6.58,1728456062721707.090	,1728456062721713.670	
0,N/A,KERNEL_AICORE,25,82,6.24,1728456062721713.690	,1728456062721719.930	
0,N/A,KERNEL_AICORE,25,83,6.36,1728456062721719.950	,1728456062721726.310	
