block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,352.789459,635021,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,352.827209,635089,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,354.305542,637750,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,352.922791,635261,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,354.578339,638241,N/A,N/A,N/A,N/A,N/A,N/A,
