block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,352.789459,635021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
1,cube0,352.827209,635089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
2,cube0,354.305542,637750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
3,cube0,352.922791,635261,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
4,cube0,354.578339,638241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
