block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,258.556122,465401,755.396973,1.888492,1.894025,188.854309,3,0.000011,3,0.020112,101,0.989611,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,513.500000,51201.375000,512.000000,0.715338,51205.500000,100.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
1,cube0,261.065002,469917,748.137451,1.870344,1.875823,187.039383,3,0.000011,3,0.016809,101,0.986819,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,513.500000,51201.375000,512.000000,0.708463,51205.500000,100.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
2,cube0,258.675568,465616,755.048157,1.887620,1.893151,188.767105,3,0.000011,3,0.018318,101,0.988259,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,513.500000,51201.375000,512.000000,0.715008,51205.500000,100.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
3,cube0,258.635010,465543,755.166565,1.887916,1.893447,188.796707,3,0.000011,3,0.018110,101,0.987995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,513.500000,51201.375000,512.000000,0.715120,51205.500000,100.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
4,cube0,258.645569,465562,755.135742,1.887839,1.893370,188.789001,3,0.000011,3,0.017965,101,0.987609,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,513.500000,51201.375000,512.000000,0.715091,51205.500000,100.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
