block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,258.556122,465401,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,261.065002,469917,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,258.675568,465616,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,258.635010,465543,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,258.645569,465562,N/A,N/A,N/A,N/A,N/A,N/A,
